序号,物质类别,中文名称,英文名称,CAS号,EC号,均质材料限值,限值ppm,材料筛查说明,法规依据
1,重金属,铅及其化合物,Lead and its compounds,7439-92-1,231-100-4,0.10%,1000,按铅元素计；化合物组无单一CAS，CAS为元素索引参考,2011/65/EU Annex II
2,重金属,汞及其化合物,Mercury and its compounds,7439-97-6,231-106-7,0.10%,1000,按汞元素计；化合物组无单一CAS，CAS为元素索引参考,2011/65/EU Annex II
3,重金属,镉及其化合物,Cadmium and its compounds,7440-43-9,231-152-8,0.01%,100,按镉元素计；化合物组无单一CAS，CAS为元素索引参考,2011/65/EU Annex II
4,重金属,六价铬化合物,Hexavalent chromium compounds,7440-47-3,231-157-5,0.10%,1000,按六价铬计；实际检测需区分Cr(VI)，CAS为铬元素索引参考,2011/65/EU Annex II
5,阻燃剂,多溴联苯,PBBs - Polybrominated biphenyls,59536-65-1,249-759-6,0.10%,1000,物质组；CAS为商业/混合物索引参考，不代表全部异构体,2011/65/EU Annex II
6,阻燃剂,多溴二苯醚,PBDEs - Polybrominated diphenyl ethers,68928-80-3,273-031-2,0.10%,1000,物质组；CAS为商业/混合物索引参考，不代表全部同系物,2011/65/EU Annex II
7,邻苯二甲酸酯,邻苯二甲酸二（2-乙基己）酯,DEHP - Bis(2-ethylhexyl) phthalate,117-81-7,204-211-0,0.10%,1000,适用于均质材料；水性配方应关注增塑剂、分散体和包装迁移带入,2015/863/EU
8,邻苯二甲酸酯,邻苯二甲酸丁苄酯,BBP - Butyl benzyl phthalate,85-68-7,201-622-7,0.10%,1000,适用于均质材料；水性配方应关注增塑剂、分散体和包装迁移带入,2015/863/EU
9,邻苯二甲酸酯,邻苯二甲酸二丁酯,DBP - Dibutyl phthalate,84-74-2,201-557-4,0.10%,1000,适用于均质材料；水性配方应关注增塑剂、分散体和包装迁移带入,2015/863/EU
10,邻苯二甲酸酯,邻苯二甲酸二异丁酯,DIBP - Diisobutyl phthalate,84-69-5,201-553-2,0.10%,1000,适用于均质材料；水性配方应关注增塑剂、分散体和包装迁移带入,2015/863/EU
