序号,物质名称,物质描述,EC号,CAS号,纳入日期,SVHC判定依据,ECHA决定/法规记录,法规结果日期
1,"(±)-1,7,7-trimethyl-3-[(4-methylphenyl)methylene]bicyclo[2.2.1]heptan-2-one covering any of the individual isomers and/or combinations thereof (4-MBC)",,,,17-Jan-2022,Endocrine disrupting properties (Article 57(f) - human health),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=5a0fa9a851e1a7c1a1ba4cec3cd1f018_D(2021)10043-DC.pdf,17-Jan-2022
2,"1, 2-dimethoxyethane; ethylene glycol dimethyl ether (EGDME)",,203-794-9,110-71-4,18-Jun-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=2776d5f81c2917f73a11a8892364c0aa_ed_87_2012_en.pdf,18-Jun-2012
3,"1,1'-(ethane-1,2-diyl)bis[pentabromobenzene] (DBDPE)",,284-366-9,84852-53-9,05-Nov-2025,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=6aee1a26b2a073c13405ae610a67c4fc_D(2025)6375-DC.pdf,05-Nov-2025
4,"1,1'-[ethane-1,2-diylbisoxy]bis[2,4,6-tribromobenzene]",,253-692-3,37853-59-1,17-Jan-2023,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=55d0f29d470fb025b29f9a4ffffe551e_D(2022)9120-DC.pdf,17-Jan-2023
5,"1,1,1,3,5,5,5-heptamethyl-3-[(trimethylsilyl)oxy]trisiloxane",,241-867-7,17928-28-8,25-Jun-2025,vPvB (Article 57e),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=fc995785f5ac2144776d38cca563fac4_D(2025)4165-DC.pdf,25-Jun-2025
6,"1,2,3-trichloropropane",,202-486-1,96-18-4,20-Jun-2011,"Carcinogenic (Article 57a)
Toxic for reproduction (Article 57c)",https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=18be05e55b61d4dae51b4f9704211e86_ed_31_2011_en.pdf,20-Jun-2011
7,"1,2-benzenedicarboxylic acid, di-C6-10-alkyl esters or mixed decyl and hexyl and octyl diesters",with ≥ 0.3% of dihexyl phthalate (EC No. 201-559-5),,,15-Jun-2015,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=1975bb21d0b562dd242cbf83204ea6e6_ED_39_2015.pdf,15-Jun-2015
8,"1,2-Benzenedicarboxylic acid, di-C6-8-branched alkyl esters, C7-rich",,276-158-1,71888-89-6,20-Jun-2011,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=e3e8e3b743659e20f5a6e098ba237e68_ed_31_2011_en.pdf,20-Jun-2011
9,"1,2-Benzenedicarboxylic acid, di-C7-11-branched and linear alkyl esters",,271-084-6,68515-42-4,20-Jun-2011,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=8f33d17f7c9798f9047d41e50588e0ff_ed_31_2011_en.pdf,20-Jun-2011
10,"1,2-Benzenedicarboxylic acid, dihexyl ester, branched and linear",,271-093-5,68515-50-4,16-Jun-2014,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=46fec054ec77a3a6e5a514f26c662197_ed_49_2014_cand_list_en.pdf,16-Jun-2014
11,"1,2-Benzenedicarboxylic acid, dipentyl ester, branched and linear",,284-032-2,84777-06-0,19-Dec-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=3b94c4a97fbe52bc0ba90fb6a42bd3a8_decision_cand_list_20121219_en.pdf,19-Dec-2012
12,"1,2-bis(2-methoxyethoxy)ethane (TEGDME; triglyme)",,203-977-3,112-49-2,18-Jun-2012,Toxic for reproduction (Article 57c),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=4d39d6702bb5b26eaf167b35dd487468_ed_87_2012_en.pdf,18-Jun-2012
13,"1,2-dichloroethane",,203-458-1,107-06-2,19-Dec-2011,Carcinogenic (Article 57a),https://chem.echa.europa.eu/api-obligation-list/v1/candidateList/documents?name=d820d2f1e5fe0b259dcf7f77436318fe_ed_77_2011_en.pdf,19-Dec-2011
